URL	Name	Subject	Section Header	Section Index	PageViews
User_talk:66.225.38.253	User talk:66.225.38.253	other	may 2008	2	0
User_talk:68.46.109.196	User talk:68.46.109.196	other	june 2008	1	0
Danny_Polo	Danny Polo	musicians	life	4	960
David_Patterson_(guitarist)	David Patterson (guitarist)	musicians	biography	10	476
Peter_Yarrow	Peter Yarrow	musicians	social activism	35	83399
List_of_slap_bass_players_(electric_bass)	List of slap bass players (electric bass)	musicians	m	26	1989
To_the_Stars_(album)	To the Stars (album)	works	external links	39	3519
Upon_This_Rock_(Joe_Farrell_album)	Upon This Rock (Joe Farrell album)	works	external links	22	1802
User_talk:62.31.116.52	User talk:62.31.116.52	other	june 2008	1	0
1961_in_jazz	1961 in jazz	events	awards	18	1079
Eddie_Calhoun	Eddie Calhoun	musicians	first paragraph	0	1856
Timeline_of_music_in_the_United_States_(1920%E2%80%9349)	Timeline of music in the United States (1920–49)	places	1949	72	6407
Jazz_Review	Jazz Review	works	first paragraph	0	1063
On_Green_Dolphin_Street_(album)	On Green Dolphin Street (album)	works	external links	21	3534
How_My_Heart_Sings!	How My Heart Sings!	works	external links	16	4733
Interplay_(Bill_Evans_album)	Interplay (Bill Evans album)	works	external links	17	6743
Further_Conversations_with_Myself	Further Conversations with Myself	works	external links	16	2268
California_Here_I_Come_(album)	California Here I Come (album)	works	external links	16	2097
Coltrane_for_Lovers	Coltrane for Lovers	works	external links	44	2838
Rod_Levitt	Rod Levitt	musicians	first paragraph	0	931
J._J._Johnson_discography	J. J. Johnson discography	works	discography	20	4450
Voyage_(Chick_Corea_album)	Voyage (Chick Corea album)	works	references	10	795
Echoes_of_an_Era	Echoes of an Era	works	external links	22	5690
Trisno	Trisno	musicians	early years	8	1513
CK_(album)	CK (album)	works	first paragraph	0	5506
The_Woman_I_Am	The Woman I Am	works	first paragraph	0	4066
Epiphany:_The_Best_of_Chaka_Khan,_Vol._1	Epiphany: The Best of Chaka Khan, Vol. 1	works	history	9	5812
Shelly_Liebowitz	Shelly Liebowitz	musicians	major labels late 1960s1980	8	498
Stella_by_Starlight	Stella by Starlight	works	recording history	7	11550
File:Miles_Ahead.jpg	File:Miles Ahead.jpg	other	file history	5	82
List_of_people_with_surname_Davis	List of people with surname Davis	other	m	29	3978
Wikipedia:WikiProject_Missouri/Cleanup_listing	Wikipedia:WikiProject Missouri/Cleanup listing	other	listing by maintenance category	53	0
Winter_in_America	Winter in America	works	music and lyrics	28	13255
User_talk:67.87.129.13	User talk:67.87.129.13	other	july 2008	25	26
Q%27s_Jook_Joint	Q's Jook Joint	works	track listing	5	8076
The_Concorde_Club	The Concorde Club	places	first paragraph	0	1559
1974_NME_Critics_End_of_Year_Poll	1974 NME Critics End of Year Poll	events	list of best albums	2	860
J.C._Crowley	J.C. Crowley	musicians	career	21	3828
Children%27s_Songs_(Chick_Corea_album)	Children's Songs (Chick Corea album)	works	references	13	2591
Jimmie_Smith	Jimmie Smith	musicians	first paragraph	0	1298
Trio_64	Trio 64	works	external links	22	2594
Sting_discography	Sting discography	works	other appearances	27	54589
List_of_nicknames_of_jazz_musicians	List of nicknames of jazz musicians	musicians	list of jazz nicknames	30	8597
Karl_Ferris	Karl Ferris	people	early years	14	2971
File:MilesAhead_original.jpg	File:MilesAhead original.jpg	other	file history	5	142
Sundance_(album)	Sundance (album)	works	references	15	2735
Delphi_I	Delphi I	works	references	18	1836
Tap_Step	Tap Step	works	external links	21	2248
Again_and_Again_(album)	Again and Again (album)	works	references	15	1457
Round_Trip_(Sadao_Watanabe_album)	Round Trip (Sadao Watanabe album)	works	external links	14	1071
The_Jazz_Review	The Jazz Review	works	contributors	9	1153
Jack_Healey	Jack Healey	people	media projects	22	2462
Colman_Andrews	Colman Andrews	people	magazine life	10	8094
Space_Harp	Space Harp	other	first paragraph	0	1687
Frank_Fitzpatrick	Frank Fitzpatrick	musicians	early career	32	2551
Miles_in_Paris	Miles in Paris	works	first paragraph	0	1198
Chris_Steinmetz	Chris Steinmetz	people	partial discography	15	930
Steve_Lukather_discography	Steve Lukather discography	works	collaborations az	13	6021
Pescara_Jazz	Pescara Jazz	events	first paragraph	0	437
File:KindofBlue_JM.jpg	File:KindofBlue JM.jpg	other	file history	5	114
The_Cry_of_Love_Tour	The Cry of Love Tour	events	tour dates	14	5059
William_Kopecky	William Kopecky	musicians	influences	7	742
Thunder_(SMV_album)	Thunder (SMV album)	works	external links	18	4091
Bj%C3%B6rk	Björk	musicians	artistry	89	693490
Fame_in_the_20th_Century	Fame in the 20th Century	works	celebrities portrayed in the series	29	4550
1971_in_music	1971 in music	events	albums released	18	33418
One_(NoMeansNo_album)	One (NoMeansNo album)	works	first paragraph	0	1964
User_talk:86.149.34.105	User talk:86.149.34.105	other	august 2008	5	0
Cool_(aesthetic)	Cool (aesthetic)	genres	regions	47	65676
Mike_Vasas	Mike Vasas	musicians	the early minor quintet	18	406
Mejeriet	Mejeriet	places	first paragraph	0	438
Avo_Session_Basel	Avo Session Basel	events	regional establishment	8	6520
Wax_Poetics	Wax Poetics	works	featured artists	54	2896
Bird:_The_Complete_Charlie_Parker_on_Verve	Bird: The Complete Charlie Parker on Verve	works	personnel	28	3231
Miles_Mosley	Miles Mosley	musicians	first paragraph	0	8053
Wikipedia:WikiProject_California/Cleanup_listing	Wikipedia:WikiProject California/Cleanup listing	other	listing by maintenance category	119	0
Complete_Charlie_Parker_on_Dial	Complete Charlie Parker on Dial	works	personnel	20	1701
Charlie_Parker_on_Dial	Charlie Parker on Dial	works	eightvolume vinyl set	28	3912
Time_Will_Pronounce	Time Will Pronounce	works	for john cage	28	1226
Manfred_Mann_Chapter_Three	Manfred Mann Chapter Three	musicians	first paragraph	0	6283
Peacock_Alley_(jazz_club)	Peacock Alley (jazz club)	places	first paragraph	0	444
MyPods_and_Boomsticks	MyPods and Boomsticks	works	cultural references	12	9636
User_talk:66.59.105.18	User talk:66.59.105.18	other	first paragraph	0	13
Van_Gelder_Studio	Van Gelder Studio	places	background	6	11260
John_Creedon	John Creedon	people	personal life	16	5840
Associated_Recording_Studios	Associated Recording Studios	places	first paragraph	0	798
United_States_Academic_Decathlon_topics	United States Academic Decathlon topics	places	topics used	14	2728
User:SelectionBot/0.7/B-4	User:SelectionBot/0.7/B-4	other	biography musicians	29	0
User:SelectionBot/0.7/W-2	User:SelectionBot/0.7/W-2	other	wikiproject los angeles	74	0
Richard_Wright_(musician)	Richard Wright (musician)	musicians	musical style	38	268289
Collectors%27_Items	Collectors' Items	works	first paragraph	0	7860
Miles_Davis_in_Europe	Miles Davis in Europe	other	first paragraph	0	1198
The_Straight_Horn_of_Steve_Lacy	The Straight Horn of Steve Lacy	works	first paragraph	0	1157
File:Blue_period.jpg	File:Blue period.jpg	other	file history	5	55
User_talk:216.165.165.133	User talk:216.165.165.133	other	september 2008	5	24
Jazz_at_the_Plaza_Vol._I	Jazz at the Plaza Vol. I	works	first paragraph	0	1171
User_talk:81.109.216.80	User talk:81.109.216.80	other	september 2008	1	0
THD_Electronics	THD Electronics	companies	amplifier basics	17	2329
Michael_Bradford	Michael Bradford	musicians	new radicals	17	4210
Sunrise_in_Different_Dimensions	Sunrise in Different Dimensions	works	track listing	14	1085
Vic_Firth	Vic Firth	musicians	famous endorsersusers	16	66644
Miles!_Miles!_Miles!	Miles! Miles! Miles!	works	first paragraph	0	2275
Super_Nova_(Wayne_Shorter_album)	Super Nova (Wayne Shorter album)	works	references	17	5436
The_Individualism_of_Gil_Evans	The Individualism of Gil Evans	works	first paragraph	0	2825
User_talk:216.48.138.35	User talk:216.48.138.35	other	february 2013	79	19
User_talk:69.116.81.11	User talk:69.116.81.11	other	february 2010	12	24
Delicate_AWOL	Delicate AWOL	musicians	sound and influences	6	596
Grammy_Award_for_Best_Instrumental_Performance	Grammy Award for Best Instrumental Performance	events	1960s	4	1205
Charlie_Banacos	Charlie Banacos	musicians	first paragraph	0	1327
Edgar_Villchur	Edgar Villchur	musicians	acoustic research inc	22	2228
Theme_Time_Radio_Hour_(season_3)	Theme Time Radio Hour (season 3)	works	episodes	71	2463
Portal:Jazz/Feature	Portal:Jazz/Feature	other	first paragraph	0	0
Guinnevere	Guinnevere	works	cover versions	10	7918
User_talk:66.114.31.105	User talk:66.114.31.105	other	february 2014	21	24
Live_at_the_Village_Vanguard_(Michel_Petrucciani_album)	Live at the Village Vanguard (Michel Petrucciani album)	works	track listing	9	896
Herbie_Hancock_discography	Herbie Hancock discography	works	external links	48	26779
Wikipedia_talk:WikiProject_Music/Archive_16	Wikipedia talk:WikiProject Music/Archive 16	other	genre guidelines proposal progress	47	0
User_talk:128.186.53.58	User talk:128.186.53.58	other	november 2008	2	10
User_talk:La_Pianista/Archive_15	User talk:La Pianista/Archive 15	other	first paragraph	0	0
Seven_Standards	Seven Standards	works	track listing	11	682
Jack_Johnson_(film)	Jack Johnson (film)	works	first paragraph	0	2387
Centrifugal_Funk	Centrifugal Funk	works	track listing	10	2556
Saeta_(flamenco)	Saeta (flamenco)	works	recordings	25	4955
Selim_Sivad:_A_Tribute_to_Miles_Davis	Selim Sivad: A Tribute to Miles Davis	works	first paragraph	0	486
Vagina_Diner	Vagina Diner	works	samples	12	5113
Whispering_(song)	Whispering (song)	works	selected discography	15	6056
List_of_concept_albums	List of concept albums	works	d	12	25907
List_of_Grateful_Dead_cover_versions	List of Grateful Dead cover versions	works	first paragraph	0	10050
Jazz_violin	Jazz violin	genres	history	16	7399
Five_Peace_Band_Live	Five Peace Band Live	works	track listing	16	3764
Billy_Cobham_discography	Billy Cobham discography	works	discography	32	7231
Easy_Living_(song)	Easy Living (song)	works	first paragraph	0	7184
On_Green_Dolphin_Street_(song)	On Green Dolphin Street (song)	works	first paragraph	0	12459
East_St._Louis_Senior_High_School	East St. Louis Senior High School	places	notable alumni	9	5715
User_talk:Rancourrancour	User talk:Rancourrancour	other	december 2008	2	0
Skyzoo	Skyzoo	musicians	musical style and influences	35	25156
MOJO_Awards	MOJO Awards	events	2009 honorees	10	2993
The_Cooker	The Cooker	works	reception	9	3603
Teddy_Charles	Teddy Charles	musicians	first paragraph	0	3732
John_McLaughlin_discography	John McLaughlin discography	works	first paragraph	0	21178
Fredrik_Carl_St%C3%B8rmer	Fredrik Carl Størmer	musicians	music and business	12	1409
User_talk:75.151.228.73	User talk:75.151.228.73	other	december 2008	4	2
Devotion_(John_McLaughlin_album)	Devotion (John McLaughlin album)	works	first paragraph	0	6759
David_Gahr	David Gahr	people	first paragraph	0	1326
Unfinished_Sky	Unfinished Sky	works	external links	19	3198
Abdel-Halim_Caracalla	Abdel-Halim Caracalla	musicians	youth	5	802
Peter_Best_(composer)	Peter Best (composer)	musicians	external links	9	3779
Street_Hero	Street Hero	works	external links	23	0
Electric_Dreams_(John_McLaughlin_album)	Electric Dreams (John McLaughlin album)	works	first paragraph	0	0
At_Newport_1958	At Newport 1958	works	first paragraph	0	8600
John_Bernard_Riley	John Bernard Riley	musicians	first paragraph	0	2781
Convergence_(Dave_Douglas_album)	Convergence (Dave Douglas album)	works	reception	7	808
Strange_Liberation	Strange Liberation	works	reception	10	1049
CoreaHancock	CoreaHancock	works	references	24	0
Keystone_(album)	Keystone (album)	works	reception	7	0
Electric_Guitarist	Electric Guitarist	works	references	16	5231
Of_Love_and_Peace	Of Love and Peace	works	track listing	6	1495
User_talk:64.53.143.154	User talk:64.53.143.154	other	january 2009	3	0
Moto_Grosso_Feio	Moto Grosso Feio	works	references	15	3725
Combo_Audio	Combo Audio	musicians	postcombo audio years	13	1361
The_Fabulous_Chi-Ali	The Fabulous Chi-Ali	works	samples	25	3383
User_talk:75.100.82.19	User talk:75.100.82.19	other	january 2009	2	0
Smithsonian_Channel%27s_Sound_Revolution	Smithsonian Channel's Sound Revolution	works	first paragraph	0	512
Alabama_(John_Coltrane_song)	Alabama (John Coltrane song)	works	references	6	4004
Provision_(album)	Provision (album)	works	first paragraph	0	4024
User_talk:72.221.71.106	User talk:72.221.71.106	other	january 2009	3	0
Alone_(Bill_Evans_album)	Alone (Bill Evans album)	works	external links	16	2531
The_Solo_Sessions,_Vol._1	The Solo Sessions, Vol. 1	works	references	8	2712
At_Shelly%27s_Manne-Hole	At Shelly's Manne-Hole	works	external links	17	2914
Affinity_(Bill_Evans_album)	Affinity (Bill Evans album)	works	track listing	10	3237
New_Conversations	New Conversations	works	external links	22	2477
I_Will_Say_Goodbye	I Will Say Goodbye	works	external links	23	4148
The_Bill_Evans_Trio_%22Live%22	The Bill Evans Trio "Live"	other	track listing	8	286
Trio_%2765	Trio '65	works	external links	16	2286
Bill_Evans_Trio_with_Symphony_Orchestra	Bill Evans Trio with Symphony Orchestra	works	external links	16	3006
Bill_Evans_at_Town_Hall	Bill Evans at Town Hall	works	external links	18	2484
Musical_quotation	Musical quotation	genres	examples	12	8594
What%27s_New_(Bill_Evans_album)	What's New (Bill Evans album)	works	track listing	7	2148
The_Bill_Evans_Album	The Bill Evans Album	works	references	20	3984
Herbie_Hancock_Trio_(1977_album)	Herbie Hancock Trio (1977 album)	works	references	10	4200
Death_Wish_(soundtrack)	Death Wish (soundtrack)	works	references	10	3417
Blow-Up_(soundtrack)	Blow-Up (soundtrack)	works	references	14	5252
Crosscurrents_(album)	Crosscurrents (album)	works	external links	23	1578
Quintessence_(Bill_Evans_album)	Quintessence (Bill Evans album)	works	external links	23	2489
Alone_(Again)	Alone (Again)	works	external links	20	1415
Brian_Eno	Brian Eno	musicians	solo work	28	392657
Quiet_Now	Quiet Now	works	track listing	5	2172
From_Left_to_Right	From Left to Right	works	external links	16	3493
Andrew_Lancaster	Andrew Lancaster	people	external links	9	1460
Intuition_(Bill_Evans_album)	Intuition (Bill Evans album)	works	external links	19	2003
Waltz_for_Debby_(1964_album)	Waltz for Debby (1964 album)	works	external links	17	3923
Round_Midnight_(soundtrack)	Round Midnight (soundtrack)	works	references	18	4676
A_Monstrous_Psychedelic_Bubble_Exploding_in_Your_Mind:_Volume_1	A Monstrous Psychedelic Bubble Exploding in Your Mind: Volume 1	works	track listing	10	2752
Wikipedia_talk:WikiProject_Jazz/Archives/2008_1	Wikipedia talk:WikiProject Jazz/Archives/2008 1	other	first paragraph	0	0
User:ClueBot_III/Detailed_Indices/Wikipedia_talk:WikiProject_Jazz/Archives/2008_1	User:ClueBot III/Detailed Indices/Wikipedia talk:WikiProject Jazz/Archives/2008 1	other	first paragraph	0	0
User:ClueBot_III/Master_Detailed_Indices/Wikipedia_talk:WikiProject_Jazz	User:ClueBot III/Master Detailed Indices/Wikipedia talk:WikiProject Jazz	other	first paragraph	0	0
User_talk:98.64.24.101	User talk:98.64.24.101	other	january 2009	1	0
User_talk:74.235.51.21	User talk:74.235.51.21	other	february 2009	3	11
Glenn_Miller_discography	Glenn Miller discography	works	selected discography and annotation	82	16759
User_talk:99.183.170.190	User talk:99.183.170.190	other	february 2009	2	0
User_talk:Shayneerainbolt	User talk:Shayneerainbolt	other	improvements to russell garcia composer	1	6
The_Best_Smooth_Jazz..._Ever!	The Best Smooth Jazz... Ever!	works	track listing	13	5600
User_talk:165.91.189.74	User talk:165.91.189.74	other	february 2009	2	0
Niels_Eje	Niels Eje	musicians	first paragraph	0	737
User_talk:71.58.80.71	User talk:71.58.80.71	other	february 2009	2	7
Bloodline_(band)	Bloodline (band)	musicians	first paragraph	0	10362
User:Zenohockey/Pitchfork	User:Zenohockey/Pitchfork	other	first paragraph	0	0
Wikipedia:0.7/0.7geo/United_States	Wikipedia:0.7/0.7geo/United States	other	biography	174	0
Wikipedia:0.7/0.7geo/Africa	Wikipedia:0.7/0.7geo/Africa	other	biography	28	0
Barbara_Stanzl	Barbara Stanzl	musicians	first paragraph	0	249
Mark_Sholtez	Mark Sholtez	musicians	biography	5	1403
User_talk:98.169.140.32	User talk:98.169.140.32	other	february 2009	3	0
Stan_Getz_discography	Stan Getz discography	works	discography	63	11893
The_Soul_of_John_Black	The Soul of John Black	musicians	first paragraph	0	1633
User_talk:71.167.208.157	User talk:71.167.208.157	other	february 2009	2	0
The_Paris_Concert_(Oscar_Peterson_album)	The Paris Concert (Oscar Peterson album)	works	track listing	9	1239
Nice_Jazz_Festival	Nice Jazz Festival	events	first paragraph	0	3717
Folk_baroque	Folk baroque	genres	history	9	3964
List_of_Sony/ATV_Music_Publishing_artists	List of Sony/ATV Music Publishing artists	people	m	39	0
My_Goal%27s_Beyond	My Goal's Beyond	works	track listing	9	5277
User_talk:97.81.213.186	User talk:97.81.213.186	other	march 2009	3	1
Akira_Sakata	Akira Sakata	musicians	first paragraph	0	2354
Face_to_Face_(Oscar_Peterson_and_Freddie_Hubbard_album)	Face to Face (Oscar Peterson and Freddie Hubbard album)	works	track listing	7	902
Four_%26_More	Four & More	works	first paragraph	0	6736
Azar_Lawrence	Azar Lawrence	musicians	first paragraph	0	3037
Curtis_Clark	Curtis Clark	musicians	first paragraph	0	804
David_Gamson	David Gamson	other	first paragraph	0	4016
My_Ship	My Ship	works	cover versions	9	3659
African_Americans_in_Davenport,_Iowa	African Americans in Davenport, Iowa	places	culture	39	3814
Lunch_Poems	Lunch Poems	works	first paragraph	0	4236
Oscar_and_Lucinda_(film)	Oscar and Lucinda (film)	works	external links	36	24930
User_talk:Gbondmg42	User talk:Gbondmg42	other	april 2011	13	0
Beefy_Red	Beefy Red	musicians	notable members	7	881
Julien%27s_Auctions	Julien's Auctions	other	auctions	11	2283
The_Standard_(album)	The Standard (album)	works	track listing	3	1266
The_Rise_and_Fall_of_Charlie_Parker	The Rise and Fall of Charlie Parker	works	first paragraph	0	254
User_talk:Joe407	User talk:Joe407	other	important figures	148	276
If_You_Could_See_Me_Now_(Oscar_Peterson_album)	If You Could See Me Now (Oscar Peterson album)	works	track listing	7	751
Live_at_Donte%27s_(Joe_Pass_album)	Live at Donte's (Joe Pass album)	works	track listing	11	695
Oscar_Peterson_%2B_Harry_Edison_%2B_Eddie_%22Cleanhead%22_Vinson	Oscar Peterson + Harry Edison + Eddie "Cleanhead" Vinson	other	track listing	8	647
John_Serry	John Serry	musicians	early career	18	1881
User:Zsasnow/tenor_madness	User:Zsasnow/tenor madness	other	history	7	0
Introducing_Kenny_Garrett	Introducing Kenny Garrett	works	first paragraph	0	825
User_talk:74.64.43.47	User talk:74.64.43.47	other	march 2009	1	0
Things_We_Like	Things We Like	works	first paragraph	0	3818
Fred_Plaut	Fred Plaut	musicians	first paragraph	0	895
Piety_Street	Piety Street	works	references	11	2415
Equinox_(standard)	Equinox (standard)	works	references	21	5622
User_talk:130.85.216.251	User talk:130.85.216.251	other	april 2009	1	3
Burnt_Sugar	Burnt Sugar	musicians	first paragraph	0	1815
User_talk:67.71.46.141	User talk:67.71.46.141	other	april 2009	2	0
Roger_Dawson	Roger Dawson	musicians	early life	8	2171
User_talk:76.29.19.191	User talk:76.29.19.191	other	august 2009	3	3
The_Living_Return	The Living Return	works	reviews	8	2086
User_talk:96.18.181.155	User talk:96.18.181.155	other	april 2009	1	0
User_talk:MilesTrane21	User talk:MilesTrane21	other	welcome and apology	5	14
Flea_(musician)	Flea (musician)	musicians	early life	10	465659
Sonny%27s_Crib	Sonny's Crib	works	references	17	2306
Tempus_Fugue-it	Tempus Fugue-it	works	first paragraph	0	1508
Carlos_Redman	Carlos Redman	musicians	music	9	556
User_talk:130.85.217.192	User talk:130.85.217.192	other	april 2009	1	0
The_Bergevin_Brothers	The Bergevin Brothers	musicians	influences	7	330
User_talk:130.85.223.45	User talk:130.85.223.45	other	april 2009	1	0
He_Was..._She_Was..._You_Was..._We_Was...	He Was... She Was... You Was... We Was...	works	track listing	7	806
Straight,_No_Chaser_(composition)	Straight, No Chaser (composition)	works	renditions	14	7534
Baby_Won%27t_You_Please_Come_Home	Baby Won't You Please Come Home	works	renditions	4	5193
Billie%27s_Bounce	Billie's Bounce	works	personnel	8	4959
Template:Infobox_ethnic_group/testcases	Template:Infobox ethnic group/testcases	other	african american	5	0
User_talk:Dvirtz	User talk:Dvirtz	other	april 2009	6	4
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874
User_talk:18.242.5.205	User talk:18.242.5.205	other	april 2009	3	17
Big_Band_(album)	Big Band (album)	works	references	11	2360
So_Near,_So_Far_(Musings_for_Miles)	So Near, So Far (Musings for Miles)	works	first paragraph	0	1959
Music_of_Bill_Evans	Music of Bill Evans	works	track listing	4	1030
Bags%27_Groove_(composition)	Bags' Groove (composition)	works	first paragraph	0	1886
Softly,_as_in_a_Morning_Sunrise	Softly, as in a Morning Sunrise	works	cover versions	3	6847
Alone_Together_(1932_song)	Alone Together (1932 song)	works	selective list of recorded versions	3	3657
Siesta_(film)	Siesta (film)	works	first paragraph	0	9106
User_talk:69.91.151.62	User talk:69.91.151.62	other	may 2009	1	0
Bob_Brookmeyer_and_Friends	Bob Brookmeyer and Friends	works	references	12	2099
User_talk:209.79.72.203	User talk:209.79.72.203	other	may 2009	3	0
South_Village	South Village	places	history	9	4557
User_talk:72.215.235.238	User talk:72.215.235.238	other	february 2010	33	18
Talk:List_of_people_with_synesthesia/Archive1	Talk:List of people with synesthesia/Archive1	other	miles davis	77	0
List_of_1920s_jazz_standards	List of 1920s jazz standards	events	19241925	15	33662
List_of_1930s_jazz_standards	List of 1930s jazz standards	events	1935	24	33860
List_of_1940s_jazz_standards	List of 1940s jazz standards	events	1947	26	17165
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221
There_Is_No_Greater_Love	There Is No Greater Love	works	first paragraph	0	5830
List_of_SACD_artists	List of SACD artists	musicians	jazz artists	7	2496
User_talk:76.66.231.26	User talk:76.66.231.26	other	february 2011	75	20
WEBG	WEBG	places	history	14	4630
I_Thought_About_You	I Thought About You	works	recordings	6	5499
Waltz_for_Debby_(song)	Waltz for Debby (song)	works	external links	23	7274
Daniel_Tinte	Daniel Tinte	musicians	biography	11	396
Arts_in_Upstate_New_York	Arts in Upstate New York	places	music	12	1822
The_Warped_Ones	The Warped Ones	works	reception	19	3574
Two_Hand_Band	Two Hand Band	works	track listing	10	257
Template:Mahavishnu_Orchestra	Template:Mahavishnu Orchestra	other	first paragraph	0	402
In_Walked_Bud	In Walked Bud	works	composition and inspiration	7	4237
Reform_(music)	Reform (music)	musicians	first paragraph	0	443
John_Nzenze	John Nzenze	musicians	life	4	870
List_of_pre-1920_jazz_standards	List of pre-1920 jazz standards	genres	19151917	19	13472
Metronome_magazine	Metronome magazine	works	first paragraph	0	1895
User_talk:67.234.44.72	User talk:67.234.44.72	other	june 2009	1	0
Ritual:_The_Modern_Jazz_Messengers	Ritual: The Modern Jazz Messengers	works	first paragraph	0	2202
Third_stream	Third stream	genres	examples	21	19481
MMTC:_Monk,_Miles,_Trane_%26_Cannon	MMTC: Monk, Miles, Trane & Cannon	works	first paragraph	0	606
At_Jazz_Jamboree_Warszawa_%2791:_A_Tribute_to_Miles	At Jazz Jamboree Warszawa '91: A Tribute to Miles	works	track listing	9	491
Opafire	Opafire	musicians	first paragraph	0	749
Live_Around_the_World_(Miles_Davis_album)	Live Around the World (Miles Davis album)	works	first paragraph	0	4246
The_Heart_of_Things	The Heart of Things	works	references	15	2021
Tokyo_Live_(John_McLaughlin_album)	Tokyo Live (John McLaughlin album)	works	track listing	8	1213
Hampton_Jazz_Festival	Hampton Jazz Festival	events	history	5	1269
Category:Compositions_by_Miles_Davis	Category:Compositions by Miles Davis	works	first paragraph	0	889
Captain_Marvel_(album)	Captain Marvel (album)	works	external links	22	3968
Returns_(album)	Returns (album)	works	external links	31	1301
Joe_Farrell_Quartet	Joe Farrell Quartet	works	external links	19	2720
Moon_Germs	Moon Germs	works	external links	18	2598
Outback_(album)	Outback (album)	works	references	17	1964
Penny_Arcade_(album)	Penny Arcade (album)	works	references	17	1850
Night_Dancing	Night Dancing	works	references	17	1247
Greg_Hall_(poet)	Greg Hall (poet)	people	background	7	583
User_talk:76.14.4.30	User talk:76.14.4.30	other	august 2009	2	0
Seven_Steps:_The_Complete_Columbia_Recordings_of_Miles_Davis_1963%E2%80%931964	Seven Steps: The Complete Columbia Recordings of Miles Davis 1963–1964	works	first paragraph	0	2768
The_Complete_Studio_Recordings_of_The_Miles_Davis_Quintet_1965%E2%80%931968	The Complete Studio Recordings of The Miles Davis Quintet 1965–1968	works	first paragraph	0	5864
Expo_86	Expo 86	places	entertainment and famous visitors	42	29660
So_You_Think_You_Can_Dance_Canada_(season_1)	So You Think You Can Dance Canada (season 1)	other	top 20 finalists	58	5174
Stephanie_Winters	Stephanie Winters	musicians	recordings	14	995
Louis_Smith_(musician)	Louis Smith (musician)	musicians	first paragraph	0	2084
Love_Is_the_Answer_(album)	Love Is the Answer (album)	works	promotion	8	6798
Tomotaka_Imamichi	Tomotaka Imamichi	musicians	musical career	11	708
George_Russell_Sextet_at_the_Five_Spot	George Russell Sextet at the Five Spot	works	track listing	5	869
Winston_E._Willis	Winston E. Willis	people	business career 19581963	23	1959
The_Jazz_Temple	The Jazz Temple	places	first paragraph	0	547
List_of_Phish_cover_versions	List of Phish cover versions	works	ad	8	6482
List_of_Australian_films_of_1991	List of Australian films of 1991	works	1991	3	1198
Oscar_Brashear	Oscar Brashear	musicians	discography	22	2365
Will_Davis_(musician)	Will Davis (musician)	musicians	first paragraph	0	1310
Regal_Theater,_Chicago	Regal Theater, Chicago	places	performers	8	3931
Quietude	Quietude	works	track listing	7	707
Live_at_Bourbon_St.	Live at Bourbon St.	works	track listing	10	646
Live_at_Donte%27s_(Lenny_Breau_album)	Live at Donte's (Lenny Breau album)	works	track listing	9	341
User_talk:131.247.244.208	User talk:131.247.244.208	other	february 2011	18	0
User_talk:68.53.1.30	User talk:68.53.1.30	other	august 2009	4	7
Dog_Years_in_the_Fourth_Ring	Dog Years in the Fourth Ring	works	track listing	11	691
Junior_Collins	Junior Collins	musicians	first paragraph	0	2131
Spike_Wells	Spike Wells	musicians	biography	3	1116
User_talk:12.234.16.194	User talk:12.234.16.194	other	october 2011	24	5
Jim_Norman_(musician)	Jim Norman (musician)	musicians	reviews	17	557
List_of_Yamaha_signature_instruments	List of Yamaha signature instruments	genres	guitars	13	3472
User_talk:76.85.148.185	User talk:76.85.148.185	other	august 2009	2	0
Mar_West	Mar West	works	track listing	6	1069
9th_Wonder_production_discography	9th Wonder production discography	works	first paragraph	0	9232
1950s_in_music	1950s in music	events	the us	57	83634
Fela!	Fela!	works	plot	25	10120
ITunes_LP	ITunes LP	events	itunes lp list	19	7423
User_talk:64.150.16.1	User talk:64.150.16.1	other	first paragraph	0	45
Parallel_Realities	Parallel Realities	works	references	12	2693
Devlin_(album)	Devlin (album)	works	track listing	5	636
User_talk:70.107.10.233	User talk:70.107.10.233	other	september 2009	2	0
Lou_Jones_(photographer)	Lou Jones (photographer)	people	first paragraph	0	745
Mark_Salling	Mark Salling	musicians	career	9	342277
User:Gfusco/Keystone_Korner	User:Gfusco/Keystone Korner	other	todd barkan conversation	4	0
Lesa_Carlson	Lesa Carlson	musicians	influences	16	557
Popsie_Randolph	Popsie Randolph	people	well known photographs	10	789
Back_and_Forth_(Cameo_song)	Back and Forth (Cameo song)	works	first paragraph	0	2583
Mungolian_Jet_Set	Mungolian Jet Set	musicians	beauty came to us in stone	13	825
Now%27s_the_Time_(Sonny_Rollins_album)	Now's the Time (Sonny Rollins album)	works	track listing	4	2707
List_of_tribute_albums	List of tribute albums	works	d	11	8410
Sonny_Rollins_with_the_Modern_Jazz_Quartet	Sonny Rollins with the Modern Jazz Quartet	works	first paragraph	0	3840
Sings_Standards	Sings Standards	works	track listing	7	859
User_talk:146.127.253.13	User talk:146.127.253.13	other	august 2010	15	48
Charles_Melcher	Charles Melcher	people	biography	17	958
Louis_Banks	Louis Banks	musicians	career	12	9325
